CodCliente,Departamento,Municipio,Credito,Venta,Venta_Credito,Venta_Contado,Veces_Compra,SKUE,Desc,CATE,Veces_Compra_Desc,Veces_Compra_Cred,Veces_Compra_Cont, TicketProm ,%_Desc,%_Compra_Desc
437454,Jinotega,SANTA MARIA DE PANTASMA,No,"21,280.26",0,"21,280.26",13,49,112.1,12,11,0,13,"1,636.94",0.53%,84.62%
433591,Managua,TIPITAPA,No,"20,857.23",0,"20,857.23",6,15,176.7,8,3,0,6,"3,476.21",0.85%,50.00%
449946,Nueva Segovia,JALAPA,No,"19,347.33",0,"19,347.33",11,54,157.47,12,10,0,11,"1,758.85",0.81%,90.91%
441377,Managua,MANAGUA,No,"19,049.69",0,"19,049.69",15,30,202.09,10,10,0,15,"1,269.98",1.06%,66.67%
412246,Matagalpa,ESQUIPULAS,No,"19,040.07",0,"19,040.07",12,11,230.73,1,12,0,12,"1,586.67",1.21%,100.00%
436773,Chontales,SANTO DOMINGO,No,"18,662.42",0,"18,662.42",15,35,146.39,9,9,0,15,"1,244.16",0.78%,60.00%
434761,Managua,SAN RAFAEL DEL SUR,Si,"18,583.65","18,583.65",0,7,50,77.05,11,7,7,0,"2,654.81",0.41%,100.00%
413477,Nueva Segovia,JALAPA,No,"18,300.86",0,"18,300.86",12,36,83.58,9,8,0,12,"1,525.07",0.46%,66.67%
407857,Managua,MANAGUA,No,"17,796.68",0,"17,796.68",13,13,239.14,4,12,0,13,"1,368.98",1.34%,92.31%
401795,Chinandega,CORINTO,Si,"17,272.85","6,552.89","10,719.96",41,63,0,12,0,14,37,421.29,0.00%,0.00%
418374,Nueva Segovia,EL JICARO,Si,"17,225.43","17,202.00",23.43,13,33,106.66,8,13,13,1,"1,325.03",0.62%,100.00%
406769,Nueva Segovia,JALAPA,Si,"17,072.03","13,988.35","3,083.68",13,28,127.74,7,12,13,5,"1,313.23",0.75%,92.31%
404168,León,LARREYNAGA,Si,"16,849.90","10,029.04","6,820.86",40,62,52.07,13,9,12,34,421.25,0.31%,22.50%
429774,Jinotega,SAN SEBASTIAN DE YALI,No,"15,943.84",0,"15,943.84",18,41,111.78,11,15,0,18,885.77,0.70%,83.33%
437062,Jinotega,JINOTEGA,No,"15,906.16",0,"15,906.16",12,38,61.38,11,11,0,12,"1,325.51",0.39%,91.67%
433462,Matagalpa,MATIGUAS,No,"15,728.03",0,"15,728.03",13,16,123.8,7,13,0,13,"1,209.85",0.79%,100.00%
